italian,dante
"Così vanno lungo le acque scure del fiume, e prima che siano scese dall'altra parte, di qua si è accalcata un'altra schiera","Così sen vanno su per l’onda bruna, e avanti che sien di là discese, anche di qua nuova schiera s’auna"
Figlio mio,Figliuol mio
"Disse il nobile maestro,","Disse ’l maestro cortese,"
"Tutti quelli che muoiono in disgrazia si radunano qui da tutto il mondo:e sono ansiosi di passare il fiume, poiché la giustizia di dio li sprona e fa sì che il timore si trasformi in desiderio","Quelli che muoion ne l’ira di dio tutti convegnon qui d’ogne paese:  e pronti sono a trapassar lo rio, ché‚ la divina giustizia li sprona, sì che la tema si volve in disio"
Di qui non passa nessun'anima che sia buona,Quinci non passa mai anima buona
"Perciò, se caronte si lamenta di te, ormai puoi capire cosa significano le sue parole","E però, se caron di te si lagna, ben puoi sapere omai che ’l suo dir suona"
"Alla fine di ciò, quei luoghi oscuri tremarono così forte che, dalla paura, il solo ricordo mi bagna di sudore","Finito questo, la buia campagna tremò sì forte, che de lo spavento la mente di sudore ancor mi bagna"
"La terra bagnata di lacrime produsse un vento, il quale fece lampeggiare una luce rossastra che sopraffece ogni mio senso","La terra lagrimosa diede vento, che balenò una luce vermiglia la qual mi vinse ciascun sentimento"
E caddi come l'uomo preso da sonno,E caddi come l’uom cui sonno piglia
"Un forte tuono interruppe il sonno nella mia testa, così che io mi scossi come qualcuno che si sveglia di soprassalto","Ruppemi l’alto sonno ne la testa un greve truono, sì ch’io mi riscossi come persona ch’è per forza desta"
"E mossi intorno lo sguardo riposato, fissandolo dritto, e osservai con attenzione per capire dove mi trovassi","E l’occhio riposato intorno mossi, dritto levato, e fiso riguardai per conoscer lo loco dov’io fossi"
"In effetti mi ritrovai sull'orlo estremo della valle dolorosa dell'inferno, che accoglie in sé un rimbombo di infiniti lamenti",Vero è che ’n su la proda mi trovai de la valle d’abisso dolorosa che ’ntrono accoglie d’infiniti guai
"Era a tal punto oscura, profonda e nebulosa che pur figgendo lo sguardo al fondo, non riuscivo a vedere nulla","Oscura e profonda era e nebulosa tanto che, per ficcar lo viso a fondo, io non vi discernea alcuna cosa"
Ora iniziamo a scendere nel mondo cieco,Or discendiam qua giù nel cieco mondo
Cominciò il poeta pallido in volto,Cominciò il poeta tutto smorto
"Io andrò per primo, tu mi seguirai","Io sarò primo, e tu sarai secondo"
"E io, accortomi del suo pallore, dissi:","E io, che del color mi fui accorto, dissi:"
"Come potrò venire, se tu, che solitamente conforti ogni mio dubbio, sei spaventato","Come verrò, se tu paventi che suoli al mio dubbiare esser conforto"
Lui mi rispose:,Ed elli a me:
L'angoscia delle anime che sono relegate qui dipinge sul mio volto quel tormento che tu credi paura,"L’angoscia de le genti che son qua giù, nel viso mi dipigne quella pietà che tu per tema senti"
"Andiamo, poiché il viaggio è lungo e non abbiamo tempo da perdere","Andiam, ché la via lunga ne sospigne"
Così procedette e mi introdusse nel primo cerchio che attornia la voragine infernale,Così si mise e così mi fé intrare nel primo cerchio che l’abisso cigne
"Qui, stando ad ascoltare, si sentivano solo dei sospiri, che facevano tremare l'aria eterna","Quivi, secondo che per ascoltare, non avea pianto mai che di sospiri, che l’aura etterna facevan tremare"
"Ciò era dovuto al dolore senza tormenti subìto dalle schiere di anime, che erano molto numerose, di bambini, donne e uomini","Ciò avvenia di duol sanza martìri ch’avean le turbe, ch’eran molte e grandi, d’infanti e di femmine e di viri"
Il buon maestro mi disse:,Lo buon maestro a me:
Non mi chiedi chi sono questi spiriti che vedi,Tu non dimandi che spiriti son questi che tu vedi
"Prima di procedere oltre, voglio che tu sappia che essi non peccarono","Or vo’ che sappi, innanzi che più andi, ch’ei non peccaro"
"E se essi hanno meriti ciò non è sufficiente, perché non hanno ricevuto il battesimo che ammette alla fede in cui tu credi","E s’elli hanno mercedi, non basta, perché non ebber battesmo, ch’è porta de la fede che tu credi"
"E se essi sono vissuti prima del cristianesimo, non adorarono dio nel modo dovuto: io stesso faccio parte di questa categoria","E s’e’ furon dinanzi al cristianesmo, non adorar debitamente a dio: e di questi cotai son io medesmo"
"Siamo perduti per questa colpa e non per altri peccati, e la nostra unica pena è di vivere in un desiderio senza speranza","Per tai difetti, non per altro rio, semo perduti, e sol di tanto offesi, che sanza speme vivemo in disio"
"Quando sentii questo provai un grande dolore al cuore, poiché compresi che in quel limbo erano sospese anime di personaggi molto eminenti","Gran duol mi prese al cor quando lo ’ntesi, però che gente di molto valore conobbi che ’n quel limbo eran sospesi"
"Dimmi, o mio maestro e signore","Dimmi, maestro mio, dimmi, segnore"
Cominciai per accertarmi di quella fede che toglie ogni dubbio,Comincia’ io per voler esser certo di quella fede che vince ogne errore:
"È mai successo che qualcuno uscisse da questo luogo, per merito proprio o di altri, che poi diventasse beato","Uscicci mai alcuno, o per suo merto o per altrui, che poi fosse beato"
"E lui, che comprese le mie velate parole, rispose:","E quei che ’ntese il mio parlar coverto, rispuose:"
"Io ero da poco in questa condizione, quando vidi entrare qui un possente, che portava i segni della vittoria","Io era nuovo in questo stato, quando ci vidi venire un possente, con segno di vittoria coronato"
"Fece uscire da qui l'ombra del primo padre, di suo figlio abele e di noè, di mosè legislatore ubbidiente","Trasseci l’ombra del primo parente, d’abèl suo figlio e quella di noè, di moisè legista e ubidente"
"Quella del patriarca abramo e del re david, israele coi suoi figli e con la moglie rachele, per la quale fece così tanto","Abraàm patriarca e davìd re, israèl con lo padre e co’ suoi nati e con rachele, per cui tanto fé"
"E molti altri, e li rese tutti beati","E altri molti, e feceli beati"
"E voglio che tu sappia che, prima di loro, nessuno spirito si era potuto salvare","E vo’ che sappi che, dinanzi ad essi, spiriti umani non eran salvati"
"Mentre lui parlava non cessavamo di camminare, ma superavamo quella fitta folla di spiriti","Non lasciavam l’andar perch’ei dicessi, ma passavam la selva tuttavia, la selva, dico, di spiriti spessi"
"Non avevamo percorso una lunga strada dal momento in cui mi ero risvegliato, quando io vidi una luce che superava un emisfero di tenebre","Non era lunga ancor la nostra via di qua dal sonno, quand’io vidi un foco ch’emisperio di tenebre vincia"
"Eravamo ancora a una certa distanza da essa, ma non tanto che io non potessi capire che quel luogo era occupato da spiriti onorevoli","Di lungi n’eravamo ancora un poco, ma non sì ch’io non discernessi in parte ch’orrevol gente possedea quel loco"
"O tu che fai onore alla scienza e all'arte, chi sono costoro che hanno tanta considerazione da avere una condizione diversa dalle altre anime","O tu ch’onori scienzia e arte, questi chi son c’hanno cotanta onranza, che dal modo de li altri li diparte"
Lui mi rispose:,E quelli a me:
"La fama eccellente che nel mondo terreno ancora sopravvive di loro, acquista loro una grazia in cielo che li distingue dagli altri spiriti","L’onrata nominanza che di lor suona sù ne la tua vita, grazia acquista in ciel che sì li avanza"
Intanto io udii una voce:,Intanto voce fu per me udita:
"Rendete onore all'altissimo poeta: la sua anima, che se n'era andata, ritorna","Onorate l’altissimo poeta: l’ombra sua torna, ch’era dipartita"
"Dopo che la voce cessò e si acquietò, vidi quattro grandi anime venirci incontro: non avevano aspetto triste, né lieto","Poi che la voce fu restata e queta, vidi quattro grand’ombre a noi venire: sembianz’avevan né trista né lieta"
Il buon maestro cominciò a dire:,Lo buon maestro cominciò a dire:
"Osserva colui che ha quella spada in mano, che precede gli altri come il loro signore:quello è omero, il più grande di tutti i poeti","Mira colui con quella spada in mano, che vien dinanzi ai tre sì come sire: quelli è omero poeta sovrano"
"L'altro che lo segue è orazio, autore delle satire",L’altro è orazio satiro che vene
Il terzo è ovidio e l'ultimo è lucano,"Ovidio è ’l terzo, e l’ultimo lucano"
"Poiché ognuno di essi ha in comune con me il nome che pronunciò quella sola voce, mi rendono onore e in questo fanno bene","Però che ciascun meco si convene nel nome che sonò la voce sola, fannomi onore, e di ciò fanno bene"
"Così vidi radunarsi la bella scuola poetica di quel signore che scrisse altissimi versi, che vola sopra gli altri come un'aquila",Così vid’i’ adunar la bella scola di quel segnor de l’altissimo canto che sovra li altri com’aquila vola
"Dopo che ebbero parlato un poco tra loro, si rivolsero a me facendomi cenni di saluto e il mio maestro sorrise di questo","Da ch’ebber ragionato insieme alquanto, volsersi a me con salutevol cenno, e ’l mio maestro sorrise di tanto"
"E mi resero un onore ancora maggiore, poiché mi accolsero nella loro schiera, così che fui il sesto membro di quel gruppo così assennato","E più d’onore ancora assai mi fenno, ch’e’ sì mi fecer de la loro schiera, sì ch’io fui sesto tra cotanto senno"
"In questo modo procedemmo fino alla luce, dicendo cose che è bello tacere, proprio come era bello parlarne in quel luogo","Così andammo infino a la lumera, parlando cose che ’l tacere è bello, sì com’era ’l parlar colà dov’era"
"Giungemmo ai piedi di un nobile castello, circondato da sette ordini di mura e protetto intorno da un bel fiumicello","Venimmo al piè d’un nobile castello, sette volte cerchiato d’alte mura, difeso intorno d’un bel fiumicello"
Lo oltrepassammo come fosse di terra,Questo passammo come terra dura
Entrai con questi saggi attraverso sette porte e giungemmo in un prato di fresca erba verde,Per sette porte intrai con questi savi: giugnemmo in prato di fresca verdura
"Vi erano delle anime con sguardi tranquilli e austeri, dall'aspetto molto autorevole: parlavano poco, con voci dolci","Genti v’eran con occhi tardi e gravi, di grande autorità ne’ lor sembianti: parlavan rado, con voci soavi"
"Ci portammo in un angolo, in un punto aperto, luminoso e posto in alto, così che li potessimo vedere tutti quanti","Traemmoci così da l’un de’ canti, in loco aperto, luminoso e alto, sì che veder si potien tutti quanti"
"Lì di fronte, sopra l'erba verde come smalto, mi furono mostrati gli spiriti magni","Colà diritto, sovra ’l verde smalto, mi fuor mostrati li spiriti magni"
E in me stesso mi esalto di averli visti,Che del vedere in me stesso m’essalto
"Io vidi elettra con molti compagni, tra cui riconobbi ettore ed enea, cesare armato con gli occhi minacciosi","I’ vidi eletra con molti compagni, tra ’ quai conobbi ettòr ed enea, cesare armato con li occhi grifagni"
Vidi camilla e pentesilea,Vidi cammilla e la pantasilea
"Dalla parte opposta vidi il re latino, che sedeva con sua figlia lavinia","Da l’altra parte, vidi ’l re latino che con lavina sua figlia sedea"
"Vidi lucio bruto che cacciò tarquinio il superbo, lucrezia, giulia, marzia e cornelia","Vidi quel bruto che cacciò tarquino, lucrezia, iulia, marzia e corniglia"
"E tutto solo, in un angolo, vidi il saladino","E solo, in parte, vidi ’l saladino"
"Dopo aver alzato un poco più lo sguardo, vidi il maestro di tutti i sapienti che sedeva in mezzo ad altri filosofi","Poi ch’innalzai un poco più le ciglia, vidi ’l maestro di color che sanno seder tra filosofica famiglia"
"Tutti lo ammirano, tutti gli rendono onore: qui io vidi socrate e platone, che gli stanno più vicini degli altri","Tutti lo miran, tutti onor li fanno: quivi vid’io socrate e platone, che ’nnanzi a li altri più presso li stanno"
"Democrito, che dice che il mondo è governato dal caso, diogene, anassagora e talete, empedocle, eraclito e zenone","Democrito, che ’l mondo a caso pone, diogenés, anassagora e tale, empedoclès, eraclito e zenone"
"E vidi il saggio che descrisse le qualità delle piante, ovvero dioscoride","E vidi il buono accoglitor del quale, diascoride dico"
"E vidi orfeo, cicerone, lino e il filosofo seneca","E vidi orfeo, tulio e lino e seneca morale"
"Euclide il matematico e tolomeo, ippocrate, avicenna e galeno, e averroè, che fece il grande commento","Euclide geomètra e tolomeo, ipocràte, avicenna e galieno, averoìs, che ’l gran comento feo"
"Io non posso parlare dettagliatamente di tutti, poiché la vastità della materia mi incalza a tal punto che, spesso, devo omettere dei particolari","Io non posso ritrar di tutti a pieno, però che sì mi caccia il lungo tema, che molte volte al fatto il dir vien meno"
